sequence,feasible,objective,total_energy,total_dist,failure_reason,arrival_times
0-45-47,True,70.59959868338731,47587827.75468187,45388.436152317845,None,"{0: 3043.9917480654617, 45: 1484.7606085029422, 47: 2608.229475176444}"
0-45-48,True,70.5995981723073,47408843.37219626,47684.4873543791,None,"{0: 2613.2956127729985, 45: 1484.7606067797592, 48: 1563.9478520014725}"
0-45-49,True,83.94571217348079,47560448.165710226,46955.21729443094,None,"{0: 3045.697088873754, 45: 1484.7606028355453, 49: 2637.924670838314}"
0-45-50,True,70.59959814614038,47521396.31607305,49636.32423198024,None,"{0: 2901.9176806734363, 45: 1484.7606066374692, 50: 2016.80001165045}"
0-46-1,True,161.9397775043036,46862528.07175982,78272.8019742434,None,"{0: 2999.061991443746, 46: 1259.571911952789, 1: 2392.9391752938022}"
0-46-2,True,236.21474953169582,47059655.75070527,82060.1848416933,None,"{0: 2877.1796284962243, 46: 1259.5718860722666, 2: 2152.9028667975635}"
0-46-3,False,0,0,72771.288533211,Time_Window_Violation,
0-46-4,True,134.94800411706643,47086348.76310437,76649.3624802694,None,"{0: 2544.4976099087044, 46: 1259.571913973256, 4: 1881.6593704978784}"
0-46-5,False,0,0,70838.10596455443,Time_Window_Violation,
0-46-6,True,164.4053408228861,46899850.96263607,77918.79607544761,None,"{0: 2454.8895713382985, 46: 1108.8496507635225, 6: 1737.1699133475001}"
0-46-7,False,0,0,72031.3505753127,Time_Window_Violation,
0-46-8,False,0,0,75580.20838742038,Time_Window_Violation,
0-46-9,False,0,0,79523.98720211098,Time_Window_Violation,
0-46-10,False,0,0,71719.99545109337,Time_Window_Violation,
0-46-11,False,0,0,77574.45239155144,Time_Window_Violation,
0-46-12,False,0,0,111905.45242811821,Time_Window_Violation,
0-46-13,False,0,0,95134.9593407308,Time_Window_Violation,
0-46-14,False,0,0,113548.97072331244,Time_Window_Violation,
0-46-15,False,0,0,105677.37572513893,Time_Window_Violation,
0-46-16,False,0,0,114837.69526411395,Time_Window_Violation,
0-46-17,False,0,0,98535.94046376686,Time_Window_Violation,
0-46-18,False,0,0,101487.78948824419,Time_Window_Violation,
0-46-19,False,0,0,109931.6725042279,Time_Window_Violation,
0-46-20,False,0,0,48591.260281974,Time_Window_Violation,
0-46-21,True,162.65823542015454,47501412.08013946,50789.29930915957,None,"{0: 2738.915567176696, 46: 1259.5719160924782, 21: 2261.7853328763663}"
0-46-22,True,162.6582333468653,47093098.41402499,52856.53658481222,None,"{0: 2634.7031446454466, 46: 1259.5719120644449, 22: 2009.3760318730003}"
0-46-23,True,150.37946876590445,46830654.7224747,56678.05304320439,None,"{0: 2596.4655892303813, 46: 1259.5719011572005, 23: 1922.764952374585}"
0-46-24,False,0,0,54272.80197424341,Time_Window_Violation,
0-46-25,False,0,0,56339.53436048386,Time_Window_Violation,
0-46-26,True,161.77485681961252,46496092.23380715,59939.85317469554,None,"{0: 2505.40614594619, 46: 1259.5719147316638, 26: 1734.695306617516}"
